,date,gas
0,2021-09-17,32.332
1,2021-09-20,32.999
2,2021-09-21,32.837
3,2021-09-22,33.439
4,2021-09-23,34.219
5,2021-09-24,36.109
6,2021-09-27,39.277
7,2021-09-28,39.251
8,2021-09-29,41.227
9,2021-09-30,44.408
10,2021-10-01,44.296
11,2021-10-04,46.664
12,2021-10-05,48.914
13,2021-10-06,42.234
14,2021-10-07,38.985
15,2021-10-08,37.369
16,2021-10-11,38.378
17,2021-10-12,39.597
18,2021-10-13,39.408
19,2021-10-14,42.83
20,2021-10-15,43.381
21,2021-10-18,44.092
22,2021-10-19,43.921
23,2021-10-20,44.262
24,2021-10-21,42.868
25,2021-10-22,42.949
26,2021-10-25,43.87
27,2021-10-26,44.434
28,2021-10-27,44.391
29,2021-10-28,42.01
30,2021-10-29,39.392
31,2021-11-01,37.755
32,2021-11-02,39.183
33,2021-11-03,41.161
34,2021-11-04,40.383
35,2021-11-05,39.301
36,2021-11-08,40.722
37,2021-11-09,38.248
38,2021-11-10,38.685
39,2021-11-11,38.928
40,2021-11-12,38.887
41,2021-11-15,39.53
42,2021-11-16,42.26
43,2021-11-17,41.722
44,2021-11-18,43.23
45,2021-11-19,41.336
46,2021-11-22,40.809
47,2021-11-23,42.432
48,2021-11-24,43.716
49,2021-11-25,44.361
50,2021-11-26,42.31
51,2021-11-29,43.363
52,2021-11-30,43.026
53,2021-12-01,43.707
54,2021-12-02,44.586
55,2021-12-03,46.188
56,2021-12-06,49.167
57,2021-12-07,55.768
58,2021-12-08,64.031
59,2021-12-09,61.753
60,2021-12-10,68.167
61,2021-12-13,71.607
62,2021-12-14,71.583
63,2021-12-15,69.383
64,2021-12-16,76.453
65,2021-12-17,80.371
66,2021-12-20,91.001
67,2021-12-21,125.021
68,2021-12-22,129.492
69,2021-12-23,106.134
70,2021-12-24,94.696
71,2021-12-27,93.043
72,2021-12-28,91.965
73,2021-12-29,87.469
74,2021-12-30,76.783
75,2021-12-31,63.849
76,2022-01-03,72.432
77,2022-01-04,79.952
78,2022-01-05,82.082
79,2022-01-06,85.242
80,2022-01-07,78.478
81,2022-01-10,76.729
82,2022-01-11,70.582
83,2022-01-12,63.773
84,2022-01-13,64.015
85,2022-01-14,66.519
86,2022-01-17,63.189
87,2022-01-18,63.614
88,2022-01-19,60.818
89,2022-01-20,63.524
90,2022-01-21,67.787
91,2022-01-24,79.811
92,2022-01-25,82.438
93,2022-01-26,84.583
94,2022-01-27,87.476
95,2022-01-28,87.315
96,2022-01-31,80.394
97,2022-02-01,71.844
98,2022-02-02,74.016
99,2022-02-03,77.048
100,2022-02-04,80.232
101,2022-02-07,77.689
102,2022-02-08,75.629
103,2022-02-09,72.24
104,2022-02-10,72.416
105,2022-02-11,75.94
106,2022-02-14,78.85
107,2022-02-15,69.316
108,2022-02-16,68.385
109,2022-02-17,73.339
110,2022-02-18,72.129
111,2022-02-21,71.341
112,2022-02-22,78.87
113,2022-02-23,87.515
114,2022-02-24,128.167
115,2022-02-25,90.415
116,2022-02-28,94.541
117,2022-03-01,117.326
118,2022-03-02,155.398
119,2022-03-03,146.765
120,2022-03-04,153.49
121,2022-03-07,179.233
122,2022-03-08,167.571
123,2022-03-09,132.694
124,2022-03-10,110.752
125,2022-03-11,119.937
126,2022-03-14,104.849
127,2022-03-15,104.683
128,2022-03-16,94.414
129,2022-03-17,99.723
130,2022-03-18,99.416
131,2022-03-21,91.816
132,2022-03-22,95.904
133,2022-03-23,114.21
134,2022-03-24,107.8
135,2022-03-25,98.083
136,2022-03-28,99.444
137,2022-03-29,104.357
138,2022-03-30,112.964
139,2022-03-31,119.049
140,2022-04-01,106.424
141,2022-04-04,104.802
142,2022-04-05,107.18
143,2022-04-06,106.167
144,2022-04-07,103.791
145,2022-04-08,103.282
146,2022-04-11,100.31
147,2022-04-12,102.403
148,2022-04-13,104.824
149,2022-04-14,95.09
150,2022-04-18,95.09
151,2022-04-19,94.025
152,2022-04-20,94.263
153,2022-04-21,99.481
154,2022-04-22,94.393
155,2022-04-25,91.513
156,2022-04-26,100.976
157,2022-04-27,105.126
158,2022-04-28,97.583
159,2022-04-29,96.68
160,2022-05-02,93.43
161,2022-05-03,96.952
162,2022-05-04,101.924
163,2022-05-05,104.534
164,2022-05-06,100.176
165,2022-05-09,94.192
166,2022-05-10,98.32
167,2022-05-11,95.317
168,2022-05-12,107.474
169,2022-05-13,99.867
170,2022-05-16,95.025
171,2022-05-17,99.048
172,2022-05-18,98.519
173,2022-05-19,94.89
174,2022-05-20,91.502
175,2022-05-23,87.983
176,2022-05-24,90.304
177,2022-05-25,94.635
178,2022-05-26,93.095
179,2022-05-27,95.441
180,2022-05-30,95.453
181,2022-05-31,97.491
182,2022-06-01,92.059
183,2022-06-02,93.276
184,2022-06-03,91.139
185,2022-06-06,90.681
186,2022-06-07,88.49
187,2022-06-08,88.504
188,2022-06-09,91.84
189,2022-06-10,90.898
190,2022-06-13,91.046
191,2022-06-14,102.333
192,2022-06-15,120.789
193,2022-06-16,126.104
194,2022-06-17,119.282
195,2022-06-20,122.493
196,2022-06-21,127.583
197,2022-06-22,130.2
198,2022-06-23,136.463
199,2022-06-24,132.484
200,2022-06-27,133.742
201,2022-06-28,133.598
202,2022-06-29,142.847
203,2022-06-30,148.882
204,2022-07-01,152.876
205,2022-07-04,164.738
206,2022-07-05,166.669
207,2022-07-06,173.278
208,2022-07-07,185.716
209,2022-07-08,178.061
210,2022-07-11,168.385
211,2022-07-12,177.354
212,2022-07-13,184.374
213,2022-07-14,179.126
214,2022-07-15,164.018
215,2022-07-18,162.567
216,2022-07-19,160.41
217,2022-07-20,161.048
218,2022-07-21,159.075
219,2022-07-22,163.548
220,2022-07-25,179.9
221,2022-07-26,202.912
222,2022-07-27,206.985
223,2022-07-28,200.351
224,2022-07-29,192.503
225,2022-08-01,201.864
226,2022-08-02,206.251
227,2022-08-03,200.563
228,2022-08-04,200.479
229,2022-08-05,198.062
230,2022-08-08,194.996
231,2022-08-09,195.059
232,2022-08-10,208.495
233,2022-08-11,212.414
234,2022-08-12,210.435
235,2022-08-15,224.081
236,2022-08-16,230.659
237,2022-08-17,229.718
238,2022-08-18,243.901
239,2022-08-19,247.176
240,2022-08-22,280.158
241,2022-08-23,272.96
242,2022-08-24,296.052
243,2022-08-25,325.981
244,2022-08-26,346.522
245,2022-08-29,292.432
246,2022-08-30,265.328
247,2022-08-31,239.907
248,2022-09-01,243.004
249,2022-09-02,214.665
250,2022-09-05,245.926
251,2022-09-06,239.842
252,2022-09-07,213.883
253,2022-09-08,220.541
254,2022-09-09,207.091
255,2022-09-12,190.588
256,2022-09-13,198.612
257,2022-09-14,217.882
258,2022-09-15,214.283
